id,firstSeen,lastSeen,dwellTime,engagementTime,crossLine
22066,2022-07-09 14:27:34,2022-07-09 14:27:44,10.203,0,0
21741,2022-07-09 14:04:00,2022-07-09 14:31:22,1642.4,1423.715000000252,1
21850,2022-07-09 14:12:41,2022-07-09 14:31:39,1137.586,656.3860000000194,1
22053,2022-07-09 14:26:14,2022-07-09 14:32:22,368.046,0,0
22071,2022-07-09 14:28:00,2022-07-09 14:32:58,298.187,130.1479999999998,1
22070,2022-07-09 14:27:57,2022-07-09 14:32:59,301.841,135.2729999999998,1
22072,2022-07-09 14:28:05,2022-07-09 14:32:53,288.174,0,0
22142,2022-07-09 14:33:08,2022-07-09 14:33:23,15.61,0,1
21831,2022-07-09 14:10:30,2022-07-09 14:33:44,1394.43,939.4720000000941,0
22135,2022-07-09 14:32:55,2022-07-09 14:33:51,56.555,0,1
22002,2022-07-09 14:22:17,2022-07-09 14:33:57,699.481,638.042000000008,1
22141,2022-07-09 14:33:04,2022-07-09 14:33:58,54.42,0,0
22134,2022-07-09 14:32:52,2022-07-09 14:34:01,69.031,0,0
22073,2022-07-09 14:28:14,2022-07-09 14:34:19,364.459,0,1
21887,2022-07-09 14:15:47,2022-07-09 14:37:07,1279.85,106.90499999999969,1
22160,2022-07-09 14:34:11,2022-07-09 14:37:28,197.188,0,1
22140,2022-07-09 14:33:02,2022-07-09 14:37:36,274.245,122.36199999999974,0
22051,2022-07-09 14:26:13,2022-07-09 14:37:48,694.349,125.83599999999973,1
22199,2022-07-09 14:38:41,2022-07-09 14:38:52,10.748,0,0
22192,2022-07-09 14:37:57,2022-07-09 14:39:06,69.922,0,1
22207,2022-07-09 14:39:49,2022-07-09 14:40:20,31.656,0,1
21896,2022-07-09 14:16:33,2022-07-09 14:40:31,1437.463,424.68599999997923,0
22208,2022-07-09 14:40:10,2022-07-09 14:41:58,107.284,53.47600000000011,1
22210,2022-07-09 14:40:45,2022-07-09 14:41:58,73.663,3.400999999999999,1
22212,2022-07-09 14:41:43,2022-07-09 14:45:36,232.457,52.6900000000001,0
22213,2022-07-09 14:41:44,2022-07-09 14:46:55,311.559,125.43599999999981,1
22261,2022-07-09 14:46:59,2022-07-09 14:47:33,33.883,0,1
22262,2022-07-09 14:47:16,2022-07-09 14:50:38,202.506,176.095,1
22058,2022-07-09 14:27:01,2022-07-09 14:54:17,1635.835,1058.083000000221,1
22264,2022-07-09 14:49:36,2022-07-09 14:54:28,291.377,62.45600000000012,1
