occupants,timeStart,timeEnd,duration
3,2022-07-05 14:54:08,2022-07-05 14:54:09,2
2,2022-07-05 14:54:10,2022-07-05 14:55:05,56
1,2022-07-05 14:55:06,2022-07-05 14:55:35,30
2,2022-07-05 14:55:36,2022-07-05 14:55:38,3
4,2022-07-05 14:55:39,2022-07-05 14:55:50,12
3,2022-07-05 14:55:51,2022-07-05 15:00:17,267
2,2022-07-05 15:00:18,2022-07-05 15:00:21,4
1,2022-07-05 15:00:22,2022-07-05 15:00:31,10
0,2022-07-05 15:00:32,2022-07-05 15:00:50,19
1,2022-07-05 15:00:51,2022-07-05 15:02:21,91
2,2022-07-05 15:02:22,2022-07-05 15:03:19,58
1,2022-07-05 15:03:20,2022-07-05 15:04:27,68
2,2022-07-05 15:04:28,2022-07-05 15:05:45,78
3,2022-07-05 15:05:46,2022-07-05 15:06:10,25
2,2022-07-05 15:06:11,2022-07-05 15:08:34,144
1,2022-07-05 15:08:35,2022-07-05 15:12:13,219
2,2022-07-05 15:12:14,2022-07-05 15:12:33,20
3,2022-07-05 15:12:34,2022-07-05 15:12:56,23
2,2022-07-05 15:12:57,2022-07-05 15:13:25,29
3,2022-07-05 15:13:26,2022-07-05 15:13:41,16
4,2022-07-05 15:13:42,2022-07-05 15:14:06,25
5,2022-07-05 15:14:07,2022-07-05 15:14:23,17
4,2022-07-05 15:14:24,2022-07-05 15:14:32,9
3,2022-07-05 15:14:33,2022-07-05 15:14:50,18
2,2022-07-05 15:14:51,2022-07-05 15:15:16,26
1,2022-07-05 15:15:17,2022-07-05 15:15:45,29
2,2022-07-05 15:15:46,2022-07-05 15:15:56,11
1,2022-07-05 15:15:57,2022-07-05 15:16:11,15
2,2022-07-05 15:16:12,2022-07-05 15:16:22,11
3,2022-07-05 15:16:23,2022-07-05 15:16:36,14
2,2022-07-05 15:16:37,2022-07-05 15:16:53,17
1,2022-07-05 15:16:54,2022-07-05 15:17:54,61
2,2022-07-05 15:17:55,2022-07-05 15:20:00,126
3,2022-07-05 15:20:01,2022-07-05 15:20:20,20
2,2022-07-05 15:20:21,2022-07-05 15:20:38,18
3,2022-07-05 15:20:39,2022-07-05 15:21:18,40
2,2022-07-05 15:21:19,2022-07-05 15:24:48,210
3,2022-07-05 15:24:49,2022-07-05 15:25:53,65
4,2022-07-05 15:25:54,2022-07-05 15:26:38,45
3,2022-07-05 15:26:39,2022-07-05 15:30:06,208
2,2022-07-05 15:30:07,2022-07-05 15:33:06,180
1,2022-07-05 15:33:07,2022-07-05 15:34:17,71
2,2022-07-05 15:34:18,2022-07-05 15:35:47,90
1,2022-07-05 15:35:48,2022-07-05 15:40:23,276
0,2022-07-05 15:40:24,2022-07-05 15:42:02,99
1,2022-07-05 15:42:03,2022-07-05 15:42:33,31
0,2022-07-05 15:42:34,2022-07-05 15:44:18,105
1,2022-07-05 15:44:19,2022-07-05 15:44:20,2
2,2022-07-05 15:44:21,2022-07-05 15:47:39,199
1,2022-07-05 15:47:40,2022-07-05 15:47:40,1
0,2022-07-05 15:47:41,2022-07-05 15:48:46,66
1,2022-07-05 15:48:47,2022-07-05 15:49:40,54
0,2022-07-05 15:49:41,2022-07-05 15:51:15,95
1,2022-07-05 15:51:16,2022-07-05 15:52:58,103
2,2022-07-05 15:52:59,2022-07-05 15:53:31,33
3,2022-07-05 15:53:32,2022-07-05 15:55:06,95
4,2022-07-05 15:55:07,2022-07-05 15:55:14,8
3,2022-07-05 15:55:15,2022-07-05 15:55:58,44
4,2022-07-05 15:55:59,2022-07-05 15:56:04,6
3,2022-07-05 15:56:05,2022-07-05 15:57:43,99
2,2022-07-05 15:57:44,2022-07-05 15:59:55,132
3,2022-07-05 15:59:56,2022-07-05 16:00:58,63
4,2022-07-05 16:00:59,2022-07-05 16:01:03,5
3,2022-07-05 16:01:04,2022-07-05 16:01:15,12
5,2022-07-05 16:01:16,2022-07-05 16:01:24,9
4,2022-07-05 16:01:25,2022-07-05 16:02:24,60
5,2022-07-05 16:02:25,2022-07-05 16:03:00,36
4,2022-07-05 16:03:01,2022-07-05 16:03:49,49
5,2022-07-05 16:03:50,2022-07-05 16:04:11,22
6,2022-07-05 16:04:12,2022-07-05 16:04:27,16
7,2022-07-05 16:04:28,2022-07-05 16:04:32,5
8,2022-07-05 16:04:33,2022-07-05 16:05:53,81
