occupants,timeStart,timeEnd,duration
4,2022-07-05 14:49:59,2022-07-05 14:50:51,52
3,2022-07-05 14:50:02,2022-07-05 14:50:05,3
2,2022-07-05 14:50:04,2022-07-05 14:50:06,2
1,2022-07-05 14:50:06,2022-07-05 14:50:08,2
0,2022-07-05 14:50:20,2022-07-05 14:50:34,14
1,2022-07-05 14:51:37,2022-07-05 14:52:54,77
0,2022-07-05 14:52:03,2022-07-05 14:52:29,26
1,2022-07-05 14:52:09,2022-07-05 14:52:15,6
2,2022-07-05 14:53:26,2022-07-05 14:54:43,77
3,2022-07-05 14:53:28,2022-07-05 14:53:30,2
4,2022-07-05 14:54:08,2022-07-05 14:54:48,40
3,2022-07-05 14:54:10,2022-07-05 14:54:12,2
2,2022-07-05 14:55:06,2022-07-05 14:56:02,56
1,2022-07-05 14:55:36,2022-07-05 14:56:06,30
2,2022-07-05 14:55:39,2022-07-05 14:55:42,3
4,2022-07-05 14:55:51,2022-07-05 14:56:03,12
3,2022-07-05 15:00:18,2022-07-05 15:04:45,267
2,2022-07-05 15:00:22,2022-07-05 15:00:26,4
1,2022-07-05 15:00:32,2022-07-05 15:00:42,10
0,2022-07-05 15:00:51,2022-07-05 15:01:10,19
1,2022-07-05 15:02:22,2022-07-05 15:03:53,91
2,2022-07-05 15:03:20,2022-07-05 15:04:18,58
1,2022-07-05 15:04:28,2022-07-05 15:05:36,68
2,2022-07-05 15:05:46,2022-07-05 15:07:04,78
3,2022-07-05 15:06:11,2022-07-05 15:06:36,25
2,2022-07-05 15:08:35,2022-07-05 15:10:59,144
1,2022-07-05 15:12:14,2022-07-05 15:15:53,219
2,2022-07-05 15:12:34,2022-07-05 15:12:54,20
3,2022-07-05 15:12:57,2022-07-05 15:13:20,23
2,2022-07-05 15:13:26,2022-07-05 15:13:55,29
3,2022-07-05 15:13:42,2022-07-05 15:13:58,16
4,2022-07-05 15:14:07,2022-07-05 15:14:32,25
5,2022-07-05 15:14:24,2022-07-05 15:14:41,17
4,2022-07-05 15:14:33,2022-07-05 15:14:42,9
3,2022-07-05 15:14:51,2022-07-05 15:15:09,18
2,2022-07-05 15:15:17,2022-07-05 15:15:43,26
1,2022-07-05 15:15:46,2022-07-05 15:16:15,29
2,2022-07-05 15:15:57,2022-07-05 15:16:08,11
1,2022-07-05 15:16:12,2022-07-05 15:16:27,15
2,2022-07-05 15:16:23,2022-07-05 15:16:34,11
3,2022-07-05 15:16:37,2022-07-05 15:16:51,14
2,2022-07-05 15:16:54,2022-07-05 15:17:11,17
1,2022-07-05 15:17:55,2022-07-05 15:18:56,61
2,2022-07-05 15:20:01,2022-07-05 15:22:07,126
3,2022-07-05 15:20:21,2022-07-05 15:20:41,20
2,2022-07-05 15:20:39,2022-07-05 15:20:57,18
3,2022-07-05 15:21:19,2022-07-05 15:21:59,40
2,2022-07-05 15:24:49,2022-07-05 15:28:19,210
3,2022-07-05 15:25:54,2022-07-05 15:26:59,65
4,2022-07-05 15:26:39,2022-07-05 15:27:24,45
3,2022-07-05 15:30:07,2022-07-05 15:33:35,208
2,2022-07-05 15:33:07,2022-07-05 15:36:07,180
1,2022-07-05 15:34:18,2022-07-05 15:35:29,71
2,2022-07-05 15:35:48,2022-07-05 15:37:18,90
1,2022-07-05 15:40:24,2022-07-05 15:45:00,276
0,2022-07-05 15:42:03,2022-07-05 15:43:42,99
1,2022-07-05 15:42:34,2022-07-05 15:43:05,31
0,2022-07-05 15:44:19,2022-07-05 15:46:04,105
1,2022-07-05 15:44:21,2022-07-05 15:44:23,2
2,2022-07-05 15:47:40,2022-07-05 15:50:59,199
1,2022-07-05 15:47:41,2022-07-05 15:47:42,1
0,2022-07-05 15:48:47,2022-07-05 15:49:53,66
1,2022-07-05 15:49:41,2022-07-05 15:50:35,54
0,2022-07-05 15:51:16,2022-07-05 15:52:51,95
1,2022-07-05 15:52:59,2022-07-05 15:54:42,103
2,2022-07-05 15:53:32,2022-07-05 15:54:05,33
3,2022-07-05 15:55:07,2022-07-05 15:56:42,95
4,2022-07-05 15:55:15,2022-07-05 15:55:23,8
3,2022-07-05 15:55:59,2022-07-05 15:56:43,44
4,2022-07-05 15:56:05,2022-07-05 15:56:11,6
3,2022-07-05 15:57:44,2022-07-05 15:59:23,99
2,2022-07-05 15:59:56,2022-07-05 16:02:08,132
3,2022-07-05 16:00:59,2022-07-05 16:02:02,63
4,2022-07-05 16:01:04,2022-07-05 16:01:09,5
3,2022-07-05 16:01:16,2022-07-05 16:01:28,12
5,2022-07-05 16:01:25,2022-07-05 16:01:34,9
4,2022-07-05 16:02:25,2022-07-05 16:03:25,60
5,2022-07-05 16:03:01,2022-07-05 16:03:37,36
4,2022-07-05 16:03:50,2022-07-05 16:04:39,49
5,2022-07-05 16:04:12,2022-07-05 16:04:34,22
6,2022-07-05 16:04:28,2022-07-05 16:04:44,16
7,2022-07-05 16:04:33,2022-07-05 16:04:38,5
8,2022-07-05 16:05:54,2022-07-05 16:07:15,81
9,2022-07-05 16:06:57,2022-07-05 16:08:00,63
8,2022-07-05 16:07:11,2022-07-05 16:07:25,14
9,2022-07-05 16:07:41,2022-07-05 16:08:11,30
8,2022-07-05 16:09:15,2022-07-05 16:10:49,94
9,2022-07-05 16:09:22,2022-07-05 16:09:29,7
10,2022-07-05 16:09:37,2022-07-05 16:09:52,15
9,2022-07-05 16:09:51,2022-07-05 16:10:05,14
7,2022-07-05 16:09:56,2022-07-05 16:10:01,5
6,2022-07-05 16:10:08,2022-07-05 16:10:20,12
5,2022-07-05 16:10:09,2022-07-05 16:10:10,1
4,2022-07-05 16:11:57,2022-07-05 16:13:45,108
5,2022-07-05 16:12:13,2022-07-05 16:12:29,16
4,2022-07-05 16:15:52,2022-07-05 16:19:31,219
5,2022-07-05 16:16:08,2022-07-05 16:16:24,16
6,2022-07-05 16:16:12,2022-07-05 16:16:16,4
7,2022-07-05 16:16:27,2022-07-05 16:16:42,15
8,2022-07-05 16:17:04,2022-07-05 16:17:41,37
7,2022-07-05 16:18:21,2022-07-05 16:19:38,77
6,2022-07-05 16:18:22,2022-07-05 16:18:23,1
5,2022-07-05 16:18:59,2022-07-05 16:19:36,37
6,2022-07-05 16:19:20,2022-07-05 16:19:41,21
5,2022-07-05 16:19:21,2022-07-05 16:19:22,1
4,2022-07-05 16:19:43,2022-07-05 16:20:05,22
5,2022-07-05 16:20:30,2022-07-05 16:21:17,47
4,2022-07-05 16:20:52,2022-07-05 16:21:14,22
3,2022-07-05 16:23:36,2022-07-05 16:26:20,164
4,2022-07-05 16:23:37,2022-07-05 16:23:38,1
5,2022-07-05 16:24:40,2022-07-05 16:25:43,63
4,2022-07-05 16:25:59,2022-07-05 16:27:18,79
3,2022-07-05 16:26:04,2022-07-05 16:26:09,5
2,2022-07-05 16:31:34,2022-07-05 16:37:04,330
3,2022-07-05 16:31:44,2022-07-05 16:31:54,10
4,2022-07-05 16:32:39,2022-07-05 16:33:34,55
3,2022-07-05 16:33:01,2022-07-05 16:33:23,22
2,2022-07-05 16:33:24,2022-07-05 16:33:47,23
3,2022-07-05 16:33:50,2022-07-05 16:34:16,26
2,2022-07-05 16:33:53,2022-07-05 16:33:56,3
3,2022-07-05 16:34:59,2022-07-05 16:36:05,66
2,2022-07-05 16:35:54,2022-07-05 16:36:49,55
1,2022-07-05 16:46:51,2022-07-05 16:57:48,657
2,2022-07-05 16:49:34,2022-07-05 16:52:17,163
1,2022-07-05 16:50:04,2022-07-05 16:50:34,30
2,2022-07-05 16:50:11,2022-07-05 16:50:18,7
3,2022-07-05 16:51:10,2022-07-05 16:52:09,59
4,2022-07-05 16:51:13,2022-07-05 16:51:16,3
5,2022-07-05 16:51:16,2022-07-05 16:51:19,3
4,2022-07-05 16:53:38,2022-07-05 16:56:00,142
3,2022-07-05 16:53:40,2022-07-05 16:53:42,2
2,2022-07-05 16:54:28,2022-07-05 16:55:16,48
3,2022-07-05 16:55:31,2022-07-05 16:56:34,63
4,2022-07-05 16:55:59,2022-07-05 16:56:27,28
5,2022-07-05 16:57:21,2022-07-05 16:58:43,82
4,2022-07-05 16:57:22,2022-07-05 16:57:23,1
3,2022-07-05 16:57:37,2022-07-05 16:57:52,15
2,2022-07-05 16:57:56,2022-07-05 16:58:15,19
3,2022-07-05 16:59:38,2022-07-05 17:01:20,102
